"Kind","Agent_Id","Queue_Id","Thread_Id","Dispatch_Id","Kernel_Id","Kernel_Name","Correlation_Id","Start_Timestamp","End_Timestamp","Private_Segment_Size","Group_Segment_Size","Workgroup_Size_X","Workgroup_Size_Y","Workgroup_Size_Z","Grid_Size_X","Grid_Size_Y","Grid_Size_Z"
"KERNEL_DISPATCH",4,1,74441,51,16,"taylor_for_strided(float*, float*, unsigned long, unsigned long)",629,1614968655972108,1614968748394207,1024,0,256,1,1,262144,1,1
"KERNEL_DISPATCH",4,1,74441,52,16,"taylor_for_strided(float*, float*, unsigned long, unsigned long)",642,1614968748662497,1614968840506837,1024,0,256,1,1,262144,1,1
"KERNEL_DISPATCH",4,1,74441,53,16,"taylor_for_strided(float*, float*, unsigned long, unsigned long)",655,1614968840781635,1614968932749654,1024,0,256,1,1,262144,1,1
"KERNEL_DISPATCH",4,1,74441,54,16,"taylor_for_strided(float*, float*, unsigned long, unsigned long)",668,1614968932998951,1614969024706007,1024,0,256,1,1,262144,1,1
"KERNEL_DISPATCH",4,1,74441,55,16,"taylor_for_strided(float*, float*, unsigned long, unsigned long)",681,1614969024956386,1614969116754164,1024,0,256,1,1,262144,1,1
"KERNEL_DISPATCH",4,1,74441,56,16,"taylor_for_strided(float*, float*, unsigned long, unsigned long)",694,1614969117009579,1614969209329599,1024,0,256,1,1,262144,1,1
"KERNEL_DISPATCH",4,1,74441,57,16,"taylor_for_strided(float*, float*, unsigned long, unsigned long)",707,1614969209610636,1614969301293214,1024,0,256,1,1,262144,1,1
"KERNEL_DISPATCH",4,1,74441,58,16,"taylor_for_strided(float*, float*, unsigned long, unsigned long)",720,1614969301570389,1614969390011521,1024,0,256,1,1,262144,1,1
"KERNEL_DISPATCH",4,1,74441,59,16,"taylor_for_strided(float*, float*, unsigned long, unsigned long)",733,1614969390264544,1614969482390322,1024,0,256,1,1,262144,1,1
"KERNEL_DISPATCH",4,1,74441,60,16,"taylor_for_strided(float*, float*, unsigned long, unsigned long)",746,1614969482669650,1614969574773990,1024,0,256,1,1,262144,1,1
"KERNEL_DISPATCH",4,1,74441,61,16,"taylor_for_strided(float*, float*, unsigned long, unsigned long)",759,1614969575047058,1614969667359717,1024,0,256,1,1,262144,1,1
"KERNEL_DISPATCH",4,1,74441,62,16,"taylor_for_strided(float*, float*, unsigned long, unsigned long)",772,1614969667616881,1614969756058653,1024,0,256,1,1,262144,1,1
"KERNEL_DISPATCH",4,1,74441,63,16,"taylor_for_strided(float*, float*, unsigned long, unsigned long)",785,1614969756342777,1614969847751915,1024,0,256,1,1,262144,1,1
"KERNEL_DISPATCH",4,1,74441,64,3,"__amd_rocclr_fillBufferAligned",789,1614970152498900,1614970152852660,0,0,256,1,1,28160,1,1
